,complaint_type,text,labels
44,MAINTENANCE OR FACILITY,garbage litter,14
536,TRAFFIC,warning signal,22
1402,DOF PARKING - PAYMENT ISSUE,applied wrong ticket,5
1095,ELECTRICAL,electrical wiring defective expose,8
729,CONSUMER COMPLAINT,tow truck company,3
2596,PLUMBING,water leaks,17
1734,HAZARDOUS MATERIALS,hazmat,10
1259,HIGHWAY CONDITION,rail highway,11
1915,SANITATION,dead bloody,18
346,DOF PARKING - PAYMENT ISSUE,person reflected,5
1241,HIGHWAY CONDITION,Highway fence,11
2500,HPD LITERATURE REQUEST,home club ownership kit,12
1441,DOF PARKING - PAYMENT ISSUE,Status adjustment,5
145,HPD LITERATURE REQUEST,mitchell lama housing list,12
2601,PLUMBING,Water leak,17
242,TREE,unauthorized tree pruning,23
1461,DOF PARKING - PAYMENT ISSUE,global business analysis reflected,5
17,PLUMBING,toilet,17
2359,SEWER,street undermine depression,20
1518,SCRIE,copy approval email,19
159,HPD LITERATURE REQUEST,heat bulletin,12
1976,SANITATION,rubbish loose,18
870,STREET CONDITION,dumpster bulk household,21
336,DCA / DOH NEW LICENSE APPLICATION REQUEST,home improvement salesperson license,4
2556,CONSTRUCTION,closed doors,1
857,HPD LITERATURE REQUEST,storm recovery loan program information sheet,12
1265,HIGHWAY CONDITION,Guardrail,11
2433,FOOD ESTABLISHMENT,Food safety,9
1220,HIGHWAY CONDITION,sleeping litter,11
2627,DCA / DOH NEW LICENSE APPLICATION REQUEST,texas license,4
1064,ELECTRICAL,Wiring electric,8
160,STREET CONDITION,lamppost base door cover open,21
1100,ELECTRICAL,automatic outlet switch,8
367,CONSTRUCTION,wall retaining wall bulging cracked,1
2644,STREET CONDITION,black pothole,21
125,CONSUMER COMPLAINT,non delivery goods services,3
1510,SCRIE,initial quote,19
1228,HIGHWAY CONDITION,pothole canyon highway,11
1768,HAZARDOUS MATERIALS,Chemical unsafe abandoned,10
2345,SEWER,Catchment basin damaged,20
711,TRAFFIC,traffic camera,22
1747,HAZARDOUS MATERIALS,free spill,10
800,STREET CONDITION,root sewer sidewalk condition,21
720,CONSUMER COMPLAINT,non disclosure ownership,3
595,WATER CONSERVATION,wasting faucetssinksflushometerurinaletc,25
1342,ILLEGAL PARKING,parking improper violation,13
1397,DOF PARKING - PAYMENT ISSUE,reduction shown,5
509,SANITATION,street cond door,18
486,DCA / DOH NEW LICENSE APPLICATION REQUEST,street fair vendor license,4
1444,DOF PARKING - PAYMENT ISSUE,person count reflected,5
391,TRAFFIC,junction box,22
571,CONSUMER COMPLAINT,high pressure sales,3
1917,SANITATION,circus animals,18
363,DCA / DOH NEW LICENSE APPLICATION REQUEST,sightseeing bus license,4
1355,ILLEGAL PARKING,double check vehicle,13
2269,DOF PROPERTY - REDUCTION ISSUE,louisiana veteran exemption,7
1703,OTHER,janitor super,16
688,DOF PROPERTY - PAYMENT ISSUE,apply payment credit,6
95,DCA / DOH NEW LICENSE APPLICATION REQUEST,full term mobile food vendor license,4
1371,ILLEGAL PARKING,overnight storage storage,13
1538,SCRIE,high rent length discrepancy,19
1767,HAZARDOUS MATERIALS,unsafe chemical substance abandoned,10
48,MAINTENANCE OR FACILITY,hours operation,14
1719,OTHER,locker,16
1387,DOF PARKING - PAYMENT ISSUE,golden penalty late threat,5
1667,OTHER,janitor,16
353,SEWER,trench,20
161,SEWER,street cave depression,20
357,DOF PROPERTY - REDUCTION ISSUE,commercial icip icap exemption,7
360,HIGHWAY CONDITION,guard rail highway,11
1004,CONSTRUCTION SAFETY ENFORCEMENT,cse sweep,2
1290,HIGHWAY CONDITION,high high grass,11
414,ILLEGAL PARKING,parking permit improper use,13
2261,DOF PROPERTY - REDUCTION ISSUE,commercial sales,7
1735,HAZARDOUS MATERIALS,hazmat job,10
2503,HPD LITERATURE REQUEST,rest home ownership kit,12
1931,SANITATION,busy sidewalk,18
2029,NOISE,arctic air condition surveillance equip systems,15
1824,DOF PROPERTY - PAYMENT ISSUE,Issue billing,6
1417,DOF PARKING - PAYMENT ISSUE,Double debit card,5
510,CONSTRUCTION,structural stability impacted new building construction,1
1852,DOF PROPERTY - PAYMENT ISSUE,payment shown,6
499,AIR QUALITY,air odor nail salon,0
1526,SCRIE,miscellaneous,19
878,CONSUMER COMPLAINT,defective headphones,3
1012,CONSTRUCTION SAFETY ENFORCEMENT,csc central scaffolding,2
2053,NOISE,noise jack fm,15
603,VIOLATION OF PARK RULES,removing flowers plants,24
1386,DOF PARKING - PAYMENT ISSUE,partial waive penalty late tip payment,5
648,HIGHWAY CONDITION,concrete barrier,11
1888,DOF PROPERTY - PAYMENT ISSUE,bill error received,6
1603,WATER CONSERVATION,water conservation problem,25
1853,DOF PROPERTY - PAYMENT ISSUE,payment rate,6
1363,ILLEGAL PARKING,car layover,13
158,AIR QUALITY,air air problem,0
906,MAINTENANCE OR FACILITY,garbage litter,14
2213,AIR QUALITY,natural odor fumes management services,0
2509,HPD LITERATURE REQUEST,hpd computer data services,12
2034,NOISE,noise air conditioning condition ventilation equip commercial,15
1569,WATER CONSERVATION,Water meters defective leaking private home,25
2333,SEWER,field crops clogged flooding,20
2066,TREE,branch cracked fall,23
1121,ELECTRICAL,Power outages,8
1214,VIOLATION OF PARK RULES,bbq outside general use,24
1850,DOF PROPERTY - PAYMENT ISSUE,payment balance shown,6
672,PLUMBING,explain,17
2334,SEWER,catch river flooding,20
529,DCA / DOH NEW LICENSE APPLICATION REQUEST,cigarette retail dealer license,4
1788,HAZARDOUS MATERIALS,unsafe chemical storage,10
2256,DOF PROPERTY - REDUCTION ISSUE,exemption personal,7
2155,AIR QUALITY,fog conditioned fumes restaurant,0
440,CONSTRUCTION SAFETY ENFORCEMENT,csc monitoring tracking,2
2508,HPD LITERATURE REQUEST,hpd guide programs services,12
1119,ELECTRICAL,superpower outage,8
1146,VIOLATION OF PARK RULES,use newly planted seeded indoor lawn,24
1660,OTHER,natural carbon monoxide,16
1868,DOF PROPERTY - PAYMENT ISSUE,incorrect amount limit paid,6
2229,DOF PROPERTY - REDUCTION ISSUE,foreign debt exemption,7
2167,AIR QUALITY,air aroma fumes vehicle idle,0
1497,SCRIE,Renewal application,19
449,PLUMBING,steam pipe riser,17
2420,FOOD ESTABLISHMENT,liquid sewage,9
1509,SCRIE,initial sequence,19
166,HPD LITERATURE REQUEST,tenant landlord disputes brochure spanish,12
465,HPD LITERATURE REQUEST,sample suspected gas leak notice,12
1244,HIGHWAY CONDITION,alberta graffiti highway,11
2156,AIR QUALITY,air odor alarm fumes restaurant,0
1678,OTHER,smoke oil,16
1583,WATER CONSERVATION,water metre steal missing private residence,25
298,CONSTRUCTION,facade defective cracking,1
105,CONSTRUCTION,building shaking vibrating structural stability,1
1740,HAZARDOUS MATERIALS,chemical spill ribbon release,10
1968,SANITATION,Surveillance litter,18
1269,HIGHWAY CONDITION,painted tile marking,11
2214,AIR QUALITY,air odor fumes plane,0
1055,CONSTRUCTION SAFETY ENFORCEMENT,home demo tail complaint,2
1115,ELECTRICAL,ignition outage,8
1988,NOISE,noise kills barking dog,15
1556,WATER CONSERVATION,nat wasting den faucetssinksflushometerurinaletc malmo private charity residence,25
289,DOF PROPERTY - REDUCTION ISSUE,condo co op abatement,7
638,DCA / DOH NEW LICENSE APPLICATION REQUEST,sightseeing guide license,4
2414,FOOD ESTABLISHMENT,rodents like mosquitoes,9
1869,DOF PROPERTY - PAYMENT ISSUE,incorrect amount value,6
1802,HAZARDOUS MATERIALS,wc lead outdoor,10
913,MAINTENANCE OR FACILITY,Garbage,14
85,AIR QUALITY,air odor fumes vehicle idling,0
25,SANITATION,improper disposal,18
2197,AIR QUALITY,hazardous air problem,0
523,SEWER,sewer problem,20
2046,NOISE,noise interference,15
2049,NOISE,Noise sources,15
137,CONSTRUCTION,site conditions endangering workers,1
416,ILLEGAL PARKING,double parked blocking traffic,13
1957,SANITATION,original postering,18
986,CONSTRUCTION SAFETY ENFORCEMENT,best low rise dwelling tracking complaint,2
1502,SCRIE,update information,19
2199,AIR QUALITY,aviation air problem,0
478,SEWER,plate noisy sunken raised,20
169,ELECTRICAL,electrical wiring defective exposed,8
2182,AIR QUALITY,air dust site,0
187,HPD LITERATURE REQUEST,home ownership kit,12
2393,FOOD ESTABLISHMENT,Contact food bare hands,9
999,CONSTRUCTION SAFETY ENFORCEMENT,csc monitoring tracking,2
1462,DOF PARKING - PAYMENT ISSUE,finance business Small business,5
1317,ILLEGAL PARKING,commercial bicycle parking,13
2313,SEWER,Securing sewer systems,20
1942,SANITATION,law,18
2564,CONSTRUCTION,fire balloon escape,1
2422,FOOD ESTABLISHMENT,sewage,9
545,TRAFFIC,veh signal sec door,22
774,STREET CONDITION,street cave,21
1197,VIOLATION OF PARK RULES,unauthorized film clips,24
926,MAINTENANCE OR FACILITY,unsecured email,14
1632,WATER CONSERVATION,Faucetssinksflushometerurinaletc wasting,25
451,NOISE,noise air condition ventilation equipment,15
1152,VIOLATION OF PARK RULES,Newly seeded use lawn,24
67,CONSUMER COMPLAINT,exchange refund return,3
1091,ELECTRICAL,electrical usage exposed,8
245,SEWER,plate missing moved exposing hole,20
1883,DOF PROPERTY - PAYMENT ISSUE,port received error,6
569,DOF PROPERTY - REDUCTION ISSUE,commercial exemption,7
109,CONSUMER COMPLAINT,harassment,3
2541,CONSTRUCTION,source,1
1545,SCRIE,Rent differences,19
1458,DOF PARKING - PAYMENT ISSUE,graduate finance business center program reflected,5
659,DCA / DOH NEW LICENSE APPLICATION REQUEST,process server organization license,4
1350,ILLEGAL PARKING,double standards traffic,13
1112,ELECTRICAL,wiring,8
2024,NOISE,Private noise noise carting,15
1588,WATER CONSERVATION,import illegal cleaning use hydrant,25
1204,VIOLATION OF PARK RULES,unauthorized graffiti posting signs,24
1134,ELECTRICAL,electrical work environment,8
691,TRAFFIC,transducer loop,22
807,CONSUMER COMPLAINT,minor present school hours,3
544,CONSUMER COMPLAINT,clothing damage,3
2343,SEWER,catch basin sunken damage upraise,20
2392,FOOD ESTABLISHMENT,bare contact hands food w,9
2480,HPD LITERATURE REQUEST,mitchell housing list lama,12
676,VIOLATION OF PARK RULES,bbq outside authorized area,24
1060,ELECTRICAL,electric wiring,8
596,TRAFFIC,sidewalk pull box co,22
762,CONSUMER COMPLAINT,car wash,3
2320,SEWER,flooding street,20
2249,DOF PROPERTY - REDUCTION ISSUE,Exemption personal stars,7
858,PLUMBING,service line termination dep internal use,17
1611,WATER CONSERVATION,illegal laundry hose,25
1876,DOF PROPERTY - PAYMENT ISSUE,payment options posted,6
1993,NOISE,Noise barking dog,15
1961,SANITATION,Illegal billboards,18
2611,DCA / DOH NEW LICENSE APPLICATION REQUEST,better term mobile food vendor,4
2590,PLUMBING,bathtub,17
1035,CONSTRUCTION SAFETY ENFORCEMENT,one full demo,2
322,CONSTRUCTION,excavation undermining adjacent building,1
1696,OTHER,Fumes smoke,16
1605,WATER CONSERVATION,water waste dumping,25
1955,SANITATION,illegal,18
889,DCA / DOH NEW LICENSE APPLICATION REQUEST,inhalation therapy supervising technician license,4
339,PLUMBING,defective street cut,17
2061,NOISE,track honking requested,15
2106,TREE,keep hitting power phone lines,23
2639,TRAFFIC,control,22
1908,SANITATION,improper equipment disposal,18
2207,AIR QUALITY,melody smoke commercial,0
568,DCA / DOH NEW LICENSE APPLICATION REQUEST,locksmith license,4
1406,DOF PARKING - PAYMENT ISSUE,applied construction grammar,5
262,CONSUMER COMPLAINT,contract dispute,3
1427,DOF PARKING - PAYMENT ISSUE,mailed,5
1756,HAZARDOUS MATERIALS,chemical foul odor,10
1899,DOF PROPERTY - PAYMENT ISSUE,bonus info status,6
2237,DOF PROPERTY - REDUCTION ISSUE,visa exemption,7
892,TRAFFIC,marine lamp,22
1533,SCRIE,minority report,19
144,STREET CONDITION,curb painted,21
572,STREET CONDITION,wood pole leaning,21
657,HPD LITERATURE REQUEST,certificate harassment application,12
2636,TRAFFIC,remote controller,22
784,AIR QUALITY,air odor fumes,0
2640,TRAFFIC,controller,22
2120,TREE,branches dead tree,23
1424,DOF PARKING - PAYMENT ISSUE,card confirmation dof issued number,5
1459,DOF PARKING - PAYMENT ISSUE,finance business limited,5
891,TRAFFIC,marine globe,22
1990,NOISE,noise,15
2346,SEWER,catch basin search,20
316,DCA / DOH NEW LICENSE APPLICATION REQUEST,going business sale license,4
430,SCRIE,initial application,19
1851,DOF PROPERTY - PAYMENT ISSUE,currently shown,6
80,NOISE,noise private carting noise,15
432,CONSTRUCTION SAFETY ENFORCEMENT,best high rise tracking complaint,2
602,VIOLATION OF PARK RULES,smoking,24
972,MAINTENANCE OR FACILITY,rodent bear sighting,14
1339,ILLEGAL PARKING,regulations permit dual use,13
1042,CONSTRUCTION SAFETY ENFORCEMENT,best dm tracking complaint,2
1530,SCRIE,new tac report,19
2262,DOF PROPERTY - REDUCTION ISSUE,commercial results,7
1889,DOF PROPERTY - PAYMENT ISSUE,Bill received faults,6
2065,NOISE,Honking signal requested,15
1308,ILLEGAL PARKING,posted vehicle parking sign noise violation,13
308,DCA / DOH NEW LICENSE APPLICATION REQUEST,individual process server license,4
2517,HPD LITERATURE REQUEST,new orleans investor rights requirements,12
1368,ILLEGAL PARKING,unauthorized layover bus,13
1905,DOF PROPERTY - PAYMENT ISSUE,Status credit information refund,6
124,CONSTRUCTION,ventilation system,1
1843,DOF PROPERTY - PAYMENT ISSUE,money refund,6
2492,HPD LITERATURE REQUEST,tenant landlord title disputes brochure spanish,12
1784,HAZARDOUS MATERIALS,oil street large spill,10
2585,PLUMBING,Shower cubicle,17
2325,SEWER,manhole steel art,20
2479,HPD LITERATURE REQUEST,mitchell lama caparison list,12
2572,CONSTRUCTION,noble gas,1
1669,OTHER,porsche super,16
1053,CONSTRUCTION SAFETY ENFORCEMENT,digital demo shop complaint,2
12,OTHER,janitor super,16
2130,TREE,hanging tree leaning uprooted,23
482,SCRIE,application appeal,19
312,STREET CONDITION,fixture luminaire missing,21
922,MAINTENANCE OR FACILITY,unsecured production facility,14
2516,HPD LITERATURE REQUEST,enacted new lead law rights licensing requirements,12
1150,VIOLATION OF PARK RULES,use newly constructed pools,24
2425,FOOD ESTABLISHMENT,Wastewater,9
735,CONSUMER COMPLAINT,tour company,3
966,MAINTENANCE OR FACILITY,grass roots,14
1412,DOF PARKING - PAYMENT ISSUE,card charged cards twice,5
1812,HAZARDOUS MATERIALS,natural methane gas devices leak without dep internal use,10
639,DCA / DOH NEW LICENSE APPLICATION REQUEST,general vendor distributor license,4
1202,VIOLATION OF PARK RULES,blocked unauthorized posting signs,24
1465,DOF PARKING - PAYMENT ISSUE,Financial center mirrored,5
2481,HPD LITERATURE REQUEST,Mitchell Lama Housing List,12
119,STREET CONDITION,line marking faded,21
1366,ILLEGAL PARKING,unauthorized public trips,13
333,TREE,traffic sign signal blocked,23
2588,PLUMBING,swimming bathtub,17
795,CONSUMER COMPLAINT,arcade,3
1664,OTHER,monoxide carbon,16
827,DOF PROPERTY - REDUCTION ISSUE,commercial damp exemption,7
1009,CONSTRUCTION SAFETY ENFORCEMENT,cse sweep,2
191,TREE,one address,23
2241,DOF PROPERTY - REDUCTION ISSUE,Exemption commercial purposes,7
2126,TREE,entire event notes,23
644,TRAFFIC,reflector louvre,22
824,FOOD ESTABLISHMENT,milk pasteurized,9
1257,HIGHWAY CONDITION,Dead animal,11
1498,SCRIE,update tenant information,19
1380,DOF PARKING - PAYMENT ISSUE,card validation dof confirmation number previously issued,5
1430,DOF PARKING - PAYMENT ISSUE,mailed,5
742,DCA / DOH NEW LICENSE APPLICATION REQUEST,dealer devices disabled license,4
1856,DOF PROPERTY - PAYMENT ISSUE,shown payment,6
1551,SCRIE,diligence appeal,19
952,MAINTENANCE OR FACILITY,Indoors structure,14
781,CONSUMER COMPLAINT,electronics repair store,3
213,TREE,hitting building,23
444,SCRIE,copy approval order,19
1823,DOF PROPERTY - PAYMENT ISSUE,charge issue,6
2228,DOF PROPERTY - REDUCTION ISSUE,ultra personal luxury sche exemption,7
1036,CONSTRUCTION SAFETY ENFORCEMENT,microsoft csc full spectrum demo tracking,2
1024,CONSTRUCTION SAFETY ENFORCEMENT,tracking excavation complaint,2
2169,AIR QUALITY,Odour nuisance idle,0
475,NOISE,noise lawn care equipment,15
671,PLUMBING,container gallons,17
770,CONSUMER COMPLAINT,booting company,3
2360,SEWER,cave street depression,20
1586,WATER CONSERVATION,illegal immigrants use hydrant,25
836,CONSTRUCTION,inspect unprepared,1
2280,DOF PROPERTY - REDUCTION ISSUE,profit commercial exemption,7
763,CONSUMER COMPLAINT,immigration services,3
2077,TREE,whole genome,23
36,NOISE,noise construction hours,15
247,CONSTRUCTION,safety netting guard rails damaged inadequate none,1
2100,TREE,dead dying apple tree,23
521,NOISE,noise boat,15
1495,SCRIE,application replenishment,19
2158,AIR QUALITY,air odor combustion,0
163,TRAFFIC,base door,22
1478,SCRIE,scrie rec,19
844,TRAFFIC,dead end sign,22
588,SANITATION,spill oil etc,18
2614,DCA / DOH NEW LICENSE APPLICATION REQUEST,full term mobile phone services license,4
631,DOF PROPERTY - PAYMENT ISSUE,misapplied payment,6
2086,TREE,bicycle bicycle,23
1381,DOF PARKING - PAYMENT ISSUE,card dof confirmation capability designation,5
2238,DOF PROPERTY - REDUCTION ISSUE,commercial hours,7
2341,SEWER,diversion basin dams damaged raised,20
136,STREET CONDITION,street cleaning asp,21
2515,HPD LITERATURE REQUEST,new lead work revision requirements,12
1174,VIOLATION OF PARK RULES,biking activities,24
1246,HIGHWAY CONDITION,graffiti Edit,11
2260,DOF PROPERTY - REDUCTION ISSUE,commercial zoning exemption,7
2215,AIR QUALITY,breeze aroma fumes private carting,0
2015,NOISE,noise consternation,15
422,DOF PROPERTY - PAYMENT ISSUE,payment posted,6
1759,HAZARDOUS MATERIALS,chemical substance odor,10
2482,HPD LITERATURE REQUEST,monthly heat bulletin,12
2023,NOISE,noise individual carting noise,15
2493,HPD LITERATURE REQUEST,atlas software offers brochure spanish,12
1132,ELECTRICAL,electrical congestion enforcement work order,8
1760,HAZARDOUS MATERIALS,Odor chemical,10
2291,DOF PROPERTY - REDUCTION ISSUE,condo co building,7
2348,SEWER,catch basin search,20
200,DOF PROPERTY - REDUCTION ISSUE,commercial exemption,7
2524,HPD LITERATURE REQUEST,housing management education program course preparation guide,12
2052,NOISE,making noise jack hammering,15
1432,DOF PARKING - PAYMENT ISSUE,reflected mailed,5
2638,TRAFFIC,controller,22
131,CONSTRUCTION,fence none inadequate,1
942,MAINTENANCE OR FACILITY,snow drop,14
1797,HAZARDOUS MATERIALS,oil spill valley expressway,10
2428,FOOD ESTABLISHMENT,food protection,9
2494,HPD LITERATURE REQUEST,tenant also disputes parking issue,12
2248,DOF PROPERTY - REDUCTION ISSUE,star personal exemption,7
2631,DCA / DOH NEW LICENSE APPLICATION REQUEST,laundry licence,4
329,TRAFFIC,flashing hazard,22
1958,SANITATION,illegal prosecution,18
319,CONSTRUCTION,posted notice order removed tampered,1
476,STREET CONDITION,traffic signal light,21
723,DOF PROPERTY - PAYMENT ISSUE,property refunds credits,6
193,DOF PROPERTY - PAYMENT ISSUE,status refund,6
463,SCRIE,tac report,19
1252,HIGHWAY CONDITION,accidental dead animal,11
1033,CONSTRUCTION SAFETY ENFORCEMENT,Measures comply building regulations,2
2657,CONSUMER COMPLAINT,unlicensed,3
591,AIR QUALITY,air open fire commercial,0
2424,FOOD ESTABLISHMENT,sewage,9
2361,SEWER,Cave deepening road,20
2251,DOF PROPERTY - REDUCTION ISSUE,personal,7
1446,DOF PARKING - PAYMENT ISSUE,person,5
2203,AIR QUALITY,air america commercial,0
2308,SEWER,sewer backup backup,20
1825,DOF PROPERTY - PAYMENT ISSUE,Invoicing,6
330,CONSTRUCTION,non compliance w lightweight materials,1
1755,HAZARDOUS MATERIALS,bodily odor,10
